PAYMENT_NUMBER,MONTH,PAYMENT,PRINCIPAL,PERCENT_PRINCIPAL_OF_PAYMENT,INTEREST,PERCENT_INTEREST_OF_PAYMENT,REMAINING_BALANCE,PERCENT_OF_LOAN_PAID,PERCENT_OF_ASSET_OWNED
1,1,516.22,69.55,13.472937894696058,446.67,86.52706210530394,79930.45,0.08693750000000477,20.069550000000007
2,2,516.22,69.94,13.548487079152299,446.28,86.45151292084769,79860.51,0.17436250000000086,20.13949000000001
3,3,516.22,70.33,13.624036263608538,445.89,86.37596373639145,79790.18,0.2622750000000167,20.209820000000008
4,4,516.22,70.72,13.699585448064777,445.5,86.3004145519352,79719.45999999999,0.3506750000000096,20.280540000000016
5,5,516.22,71.12,13.777071791096821,445.1,86.22292820890318,79648.34,0.43957500000000493,20.35166000000001
6,6,516.22,71.52,13.854558134128858,444.7,86.14544186587113,79576.81999999999,0.5289750000000026,20.423180000000002
7,7,516.22,71.92,13.932044477160899,444.3,86.0679555228391,79504.9,0.6188750000000027,20.495100000000008
8,8,516.22,72.32,14.00953082019294,443.9,85.99046917980705,79432.57999999999,0.7092750000000194,20.567420000000013
9,9,516.22,72.72,14.08701716322498,443.5,85.91298283677502,79359.85999999999,0.8001750000000101,20.640140000000017
10,10,516.22,73.13,14.166440664832821,443.09,85.83355933516717,79286.72999999998,0.8915875000000284,20.713270000000023
11,11,516.22,73.54,14.245864166440667,442.68,85.75413583355933,79213.18999999999,0.9835125000000176,20.786810000000017
12,12,516.22,73.95,14.325287668048507,442.27,85.67471233195148,79139.23999999999,1.0759500000000202,20.860760000000013
13,1,516.22,74.36,14.404711169656348,441.86,85.59528883034365,79064.87999999999,1.168900000000022,20.935120000000012
14,2,516.22,74.77,14.484134671264187,441.45,85.51586532873581,78990.10999999999,1.262362500000009,21.009890000000013
15,3,516.22,75.19,14.565495331447831,441.03,85.43450466855217,78914.91999999998,1.3563500000000204,21.085080000000005
16,4,516.22,75.61,14.646855991631474,440.61,85.35314400836852,78839.30999999998,1.4508625000000137,21.160690000000017
17,5,516.22,76.03,14.728216651815117,440.19,85.27178334818488,78763.27999999998,1.5459000000000174,21.23672000000002
18,6,516.22,76.46,14.811514470574561,439.76,85.18848552942544,78686.81999999998,1.6414750000000282,21.313180000000017
